Cause,Count,Percentage,Cumulative_Percentage
"Lightning - Storms in area, trip and reclose.",5,0.05,45.76000000000001
Lightning - Notified DCC.,5,0.05,45.81000000000001
"Weather, excluding lightning - Storms in area.",5,0.05,45.86000000000001
"Unknown - DCC, OMPA, Edmond Electric notified. Cause unknown at this time.",5,0.05,45.910000000000004
"Weather, excluding lightning - Severe weather in the area. Notified DCC, PSO & OMPA.",5,0.05,45.96
Lightning - Weather in Area,5,0.05,46.01
"Weather, excluding lightning - Icy and Windy Conditions.  Reports of galloping conductors.  Multiple operations.  NE Enid only.",5,0.05,46.059999999999995
Unknown - No known weather in area.,5,0.05,46.10999999999999
"Weather, excluding lightning - Severe weather in the area. Notified DCC.",5,0.05,46.15999999999999
"Weather, excluding lightning - Winter weather storm. Woodring pcb 385 Didnt reclose.",5,0.05,46.20999999999999
Lightning - weather in the area,5,0.05,46.259999999999984
Failed Protection System Equipment - Storms in the area.,4,0.04,46.29999999999998
"Woodward Area Windfarm, Duration 0:00:30",4,0.04,46.33999999999998
"Failed AC Substation Equipment - Penn switch 106L failure, probably due to lightning strike.",4,0.04,46.37999999999998
Unknown - OneOk was in the gas yard plugging in a computer in the control building causing a loss of fuel gas pressure.,4,0.04,46.41999999999998
"Weather, excluding lightning - Thunderstorms in the area",4,0.04,46.45999999999998
Foreign Interference - Ponca City Energy had a shield wire down.,4,0.04,46.49999999999998
"Weather, excluding lightning - Actual Beaver county PCB are now 308 and 388.  Disturbance report reflects older configuration of substation.  Reports of ice and winds in area.",4,0.04,46.53999999999998
"Weather, excluding lightning - Known weather in area.",4,0.04,46.57999999999998
Failed AC Circuit Equipment - DCC notifified. Dispatched personnel to investigate.  Found arching phase on WFEC Numa Tap SW 32.,4,0.04,46.619999999999976
Lightning - Tornado,4,0.04,46.659999999999975
"Weather, excluding lightning - Weather in the area, DCC notified.",4,0.04,46.699999999999974
"Unknown - HLS 69kV PCB T17 tripped, No other breakers at HSL appear to have operated. At the same time, Etowah 6 tripped and reclosed. HSL 69kV T17 was closed by SCADA and tripped free. No other breakers at HSL appear to have operated. Etowah 6 tripped again and Shawnee 6 tripped as well. Both reclosed. UPDATE field crews located fault between HLS T17, T18 and 23. Fault knocked out station power, hence, status of T18 and 23 was not immediately discernable prior to attempting to close HLS T17.",4,0.04,46.739999999999974
"Weather, excluding lightning - Weather in Area",4,0.04,46.77999999999997
"Unknown - Troy Ullom thinks the problem is our 138KV line is sagging into Coop distribution conductor below. This is near the Woodward District end of the line, he noticed the 138kV line was sagging and bouncing within 3 feet of Co-op’s under build line. He said that the under-build line goes to an abandoned house. He recommends that transmission engineering investigate raising our 138kV line. He also noticed that while driving out this line section, all of the spans sag at about the same amount. On the line from Woodward District to Wind Farm SS, at the time of the trip and re-closings, there was about 140MW–145MW, the temp was about 40 Deg. F. and there was little to no wind at their location of the under-build. Even though there was little to no wind he described the line to gallop or bounce up and down while it sagged and that the sagging was not a steady lowering while it was being loaded up.",4,0.04,46.81999999999997
"Weather, excluding lightning - Ice Storm.",4,0.04,46.85999999999997
Lightning - Storms in area,4,0.04,46.89999999999997
Unknown - No weather in the area. Notified DCC.,4,0.04,46.93999999999997
Unknown - Sever Weather in the Area,4,0.04,46.97999999999997
Unknown - icing and weather in area,4,0.04,47.01999999999997
Other - Loss of gas pressure. Total was at 326mW,4,0.04,47.05999999999997
Unknown - loss of instrument air,4,0.04,47.099999999999966
"Weather, excluding lightning - Robinson MOS 132 was open during the event.  This removed the only source from Robinson for a fault on the Classen line.  This resulted in Robinson 183, 188 not operating.",4,0.04,47.139999999999965
"Weather, excluding lightning - tornado in area, RTU down no further info, assumed all loads off are WFEC",4,0.04,47.179999999999964
Lightning - Storm in the area,4,0.04,47.21999999999996
Lightning - Weather in the area. Notified DCC.,4,0.04,47.25999999999996
Unknown - Clear weather.,4,0.04,47.29999999999996
Lightning - Weather in the area.,4,0.04,47.33999999999996
"Weather, excluding lightning - DCC notified, Weather in the area.",4,0.04,47.37999999999996
Lightning - Inclement weather in the area,4,0.04,47.41999999999996
"Failed AC Substation Equipment - DCC, OMPA, and Edmond Electric notified. Danforth 111 failed in service.  Arcadia 114 and 184 did not operate because CR Burgett switch 135 is open due to arcing.",4,0.04,47.45999999999996
"Weather, excluding lightning - Severe weather in the area.",4,0.04,47.49999999999996
"Weather, excluding lightning - Weather going through area",4,0.04,47.53999999999996
Fire - Fire on one of switches at OMPA City of Blackwell,4,0.04,47.579999999999956
"Failed AC Circuit Equipment - multiple operations - locked out.  sectionalized at Southard 130 and energized from Dewey.  Held for a few minutes, but received call of arcing switch 131 at Southard.  Dewey locked out again.  Opened Canton 133.  Energized from Dewey  one more time and held.",4,0.04,47.619999999999955
"Weather, excluding lightning - Coyote MOS 132 was already open (No source from Renfrow)  Coyote 183, 184 was tripped via the Line Differential Transfer Trip.    Coyote 184 closed DB(184-185), HB(183-184) since the Renfrow line was dead.  Coyote 183 closed HLIP after 184 closed.    See Disturbance # 10419 for initial Coyote 183 & 184 open times and close times by SCADA.",4,0.04,47.659999999999954
"Weather, excluding lightning - storms in area",4,0.04,47.69999999999995
Unknown - No inclement weather in the area.,3,0.03,47.729999999999954
"Unknown - WFEC owns line, WFEC notified.",3,0.03,47.759999999999955
"Weather, excluding lightning - weather in the area",3,0.03,47.78999999999996
"Weather, excluding lightning - Tornado",3,0.03,47.81999999999996
Failed AC Circuit Equipment - ice storm,3,0.03,47.84999999999996
Failed Protection System Equipment - Cimarron 181 and 111 misoperated every time 138kV Jensen Road/WFEC El Reno line operated during a storm.,3,0.03,47.87999999999996
Unknown - ice storm,3,0.03,47.90999999999996
"Weather, excluding lightning - Heavy Snow in the Area    WWDist EHV DTF shows 35.06 on back up relay, no DTF on primary    Line drove out with nothing found. Tested line and it held.  Line in service @ 13.",3,0.03,47.93999999999996
"Unknown - Troy Ullom reports that Cow Creek 69kV PCB 82 was on Sup position, Troy placed 82 on Sup Auto.",3,0.03,47.96999999999996
Lightning - Weather,3,0.03,47.999999999999964
Unknown - Unknown,3,0.03,48.029999999999966
Weather - Koch 7 already locked out,3,0.03,48.05999999999997
Unknown - Actual fault occurred between Stonewall and Remington Park.,3,0.03,48.08999999999997
Failed AC Circuit Equipment - A phase fallen at NE 55th and Kelley,3,0.03,48.11999999999997
"Unknown - Mustang 105 , 115 did not operate per Shawn Jacobs. Dayton 108 was a mis-operation.",3,0.03,48.14999999999997
"Weather, excluding lightning - Tornado in area",3,0.03,48.17999999999997
"Weather, excluding lightning - Winter weather in the area.",3,0.03,48.20999999999997
Unknown - No weather.,3,0.03,48.239999999999974
Environmental,3,0.03,48.269999999999975
Failed Protection System Equipment - Beeline showed to open but Bluebell did not operate.  Appears to be a overtrip misop on Beeline per Shawn Jacobs when Spring Valley/Stillwater 138kV line operated.  Loads stayed fed from Bluebell.,3,0.03,48.299999999999976
"Weather, excluding lightning - Cause unknown, possibly wind, clear weather email sent. Spring Valley AMOS 135 failed to operate.",3,0.03,48.32999999999998
Pad Mount Failure,3,0.03,48.35999999999998
"Weather, excluding lightning - Weather in area.  High winds.  No DTF.  Spring Creek RTU was down.  Not sure about operation there.",3,0.03,48.38999999999998
Lightning - Storms in area.,3,0.03,48.41999999999998
Unknown - No weather in the area.,3,0.03,48.44999999999998
Power System Condition,3,0.03,48.47999999999998
Lightning - Thunderstorms in the area.,3,0.03,48.509999999999984
Vegetation - Tree fell on guy wire.,3,0.03,48.539999999999985
Failed AC Circuit Equipment - Winter Storms,3,0.03,48.569999999999986
Lightning - Weather in area. DCC Notified.,3,0.03,48.59999999999999
"Weather, excluding lightning - Storm in area",3,0.03,48.62999999999999
"Weather, excluding lightning - weather in area     Drumwright 7 has bee replaced",3,0.03,48.65999999999999
Unknown - Possible storms in the area.,3,0.03,48.68999999999999
Underground cable fault on collector system (circuit ?).,3,0.03,48.71999999999999
Weather - Looks like several spans near Lake Overholser were slapping together due to high winds.  Location is near 11 spans from Mustang Power Plant.,3,0.03,48.74999999999999
Unknown - Inclement weather in the area.,3,0.03,48.779999999999994
Unknown - unknown,3,0.03,48.809999999999995
"Weather, excluding lightning - PSO notified, DCC notified.  Weather in the area.",3,0.03,48.839999999999996
Failed AC Circuit Equipment - Weather in area,3,0.03,48.87
Unknown - Possible Storms in area.,3,0.03,48.9
Human Error - Atlas Power testing Northwest 345kV PCB 313 and tripped Northwest 345kV PCB 382 due to wrong wiring connections.,3,0.03,48.93
"Lightning - Weather in the area, DCC notified.",3,0.03,48.96
Unknown - Breakers Forest Hill 12 and Maud Tap 9 did not operate with a potential misop for forest hill and Maud Tap,3,0.03,48.99
Unknown - no weather in area,3,0.03,49.02
Unknown - Weather,3,0.03,49.050000000000004
Weather - Weather,3,0.03,49.080000000000005
Human Error - Zac Horn 405-630-4418 with OGE at Degrasse Sub calibrating fault recorder,3,0.03,49.11000000000001
Lightning - Thunderstorms in area.,3,0.03,49.14000000000001
Unknown - No inclement weather in the area,3,0.03,49.17000000000001
Lightning - Severe weather in the area. Fixico 9 was on supv for a Hot Line Hold preparred to issue to PSO. Verified with PSO Weleekta 61A was open as well. OGE closed first Fixico 9 then PSO closed 61A.,3,0.03,49.20000000000001
Weather - DCC notified.,2,0.02,49.22000000000001
"Weather, excluding lightning - High Wind day.Sectionalized Helena Tap switch 35 and Goltry Tap 33 or 8 miles of line between the two.  Closed in from Knobhill PCB 9 at 12:21:51.  Closed in from IMO PCB 7 at 12:54:39.",2,0.02,49.240000000000016
Unknown - Weather and storms in the area.,2,0.02,49.26000000000002
Human Error - Marty Fry was working at Renfrow and rolled lockouts for PCB 319 and 389. Marty had Westar send a trip signal from Westar Viola  to Renfrow for testing and forgot to disable the lockouts beforehand.,2,0.02,49.28000000000002
"Unknown - WFEC reproted that Canadian 372 & 472 tripped and reclosed. Suspect that Cedar Lane 106 Tripped and reclosed however no scada indication. Notifed WFEC and DCC. DTF was 11.7 mi. from Paoli 107. DCC did not have any reports of any outages as a result of these operations. Unsure what may be a misop or a slow to operate. Chigley and Ratliff also tripped and reclosed at the same time. Chigley /Paules Valley line ACT is in alarm this was reported on 3/27/2013. Paoli/Ratliff 138kv line ACT came in alarm 7/28/13 at 0658 and is still in alarm, this ACT has been failed in service per Reilly.",2,0.02,49.300000000000026
"Weather, excluding lightning - weather in area, Windfarm patrolled line, no issues found as of 0830 3-22-22; Badger 314 was already open due to Badger/Beaver County line 1 outage, so when the windfarm line tripped it stopped flow on the Badger/Beaver County line 2",2,0.02,49.32000000000003
"Weather, excluding lightning - Weather in the area. DCC notified.",2,0.02,49.34000000000003
Lightning - storms in area,2,0.02,49.360000000000035
Unknown - No weather in the area,2,0.02,49.38000000000004
Other - Tripped during valve testing,2,0.02,49.40000000000004
Unknown - No known weather in area at this time.,2,0.02,49.420000000000044
Lightning - Inclement weather in the area.,2,0.02,49.44000000000005
"Unknown - Truck hit a pole on the PSO side of the Cimarron 106, 186 to Cornville 1329A line.  Cornville 1329A failed to operate.",2,0.02,49.46000000000005
Unknown - Update: Located a broken bird guard detached on the Macomb Tap / Macomb OC Pump 69kV line. This was causing arcing and ignited a grass fire that the fire dept. had to put out. Repaired line and issue. per S1669.,2,0.02,49.480000000000054
Unknown - Stormy Weather,2,0.02,49.50000000000006
"Weather, excluding lightning - Tornado Damage",2,0.02,49.52000000000006
Weather - No SCADA to verify Oak Grove operation.,2,0.02,49.54000000000006
"Unknown - No Inclement weather in the area. Key west T126 currently open so this line is split.   DCC bank 1 is transferred onto bank 2 @ Key west.   Patrolled line and found nothing. Switch 131 at Keywest was arching a few days ago, but today there are no visible burn marks.",2,0.02,49.560000000000066
Weather - DCC Notified,2,0.02,49.58000000000007
Failed Protection System Equipment - Operated as backup protection to clear the fault on the Inglewood 109 to Rock Creek 111 to Rushing 12 138kv line since Inglewood 109 failed to operate - Disturbance ID 8318,2,0.02,49.60000000000007
"Weather, excluding lightning - Weather in area  WFEC investigated and found nothing.  WFEC closed to test - held.  OGE closed and returned normal",2,0.02,49.620000000000076
"Weather, excluding lightning - Weather in the area.  Horseshoe Lake PCB 9 did not operate.",2,0.02,49.64000000000008
"Weather, excluding lightning - Sinclair Drumright Normal Open switch 30, hence Greenwood 9 did not operate.",2,0.02,49.66000000000008
Unknown - No weather in the area. Notified DCC of trip and reclose.,2,0.02,49.680000000000085
"Weather, excluding lightning - Drumright did not show to have operated.",2,0.02,49.70000000000009
Unknown - Clear Weather,2,0.02,49.72000000000009
"Weather, excluding lightning - Severe weather in the area. Notified DCC",2,0.02,49.740000000000094
Other - Woodring 138 KV PCB 111 & 112 didn't operate due to Waukomis Tap Switch 132 being open for line work.,2,0.02,49.7600000000001
Unknown - Possible Storms in area,2,0.02,49.7800000000001
"Weather, excluding lightning - High Winds in area",2,0.02,49.800000000000104
"Weather, excluding lightning - Cimarron 112 , 182, to El Reno 110, to Jensen Road 107 operated and reclosed. We believe it is due to the Winter Strom. DTF from Jensen Road was 0.4.",2,0.02,49.82000000000011
Other - Generator breakers 193 and 194 do not have counters per Mustang Plant personnell,2,0.02,49.84000000000011
"Weather, excluding lightning - Weather in area.  High winds.   DTF 8.7 from Breckinridge.",2,0.02,49.86000000000011
Environmental - icing in area,2,0.02,49.880000000000116
Fire - Dewey 182 and 184 did not operate for fault There was no source from Dewey do to lines out for fire.,2,0.02,49.90000000000012
Unknown - Notified DCC and KAMO.,2,0.02,49.92000000000012
"Woodward Area Windfarm, Duration 0:00:31",2,0.02,49.940000000000126
Human Error - Sooner doing trip testing for 112 and 182 but tripped 113 and 183,2,0.02,49.96000000000013
Human Error - Incorrect logic tripped Redbuds units 3 & 4 when breaker 383 was opened by SCADA for planned work.,2,0.02,49.98000000000013
"Weather, excluding lightning - Weather in area.",2,0.02,50.000000000000135
Underground cable fault on collector system (circuit 4).,2,0.02,50.02000000000014
"Other - Due to both MOS's (35 and 37) being closed at Sun Oil, Chigley Bank 3 and Pauls Valley 8 had to trip to clear the fault.  The Chigley 11 relaying is only designed to protect up to Sun Oil.",2,0.02,50.04000000000014
"Human Error - Contractors accidently rolled 112 BF relay while pulling cable. 301, 384, 102, and 182 was switched out under clearance. Caused loss of power to unit 3 and it tripped at 1333.",2,0.02,50.060000000000144
"Human Error - Misoperation from fault on the Draper Lake 311, 381 to Seminole 305, 385 345kV line - Disturbance ID 9379",2,0.02,50.08000000000015
Other - Arrestor blew at Mustang on PCB 105L.,2,0.02,50.10000000000015
"Unknown - Osage Bus #1 & 138/69 KV Transformer #3 tripped & locked out. PCB 110 Failed in service and was replaced, placed in service 2/6/2018 @1538 as per S0094.",2,0.02,50.120000000000154
Unknown - Severe weather in the area.,2,0.02,50.14000000000016
"Unknown - Problem was on WFEC's side, Cimarron misoperated during this event.",2,0.02,50.16000000000016
"Contamination - Redbud 386 Tripped and reclose, Redbud 385 was open per S1658.Notified PSO and DCC.    PSO found bird droppings on an insulator and believe this is the cause of the fault.",2,0.02,50.18000000000016
Unknown - Bad order crossarm between 44th & Sunnylane Tap SW32 and Elm Creek AMOS 30. Possible overreach into this zone through Sage 81.SW 5th PCB 8 was already in outage at time of disturbance.,2,0.02,50.200000000000166
"Weather - Tatonga 311, 319, & 381 were open during this fault.  Tatonga 311, 319, & 381 were closed on 2/27/2013.",2,0.02,50.22000000000017
"Weather, excluding lightning - weather in area.",2,0.02,50.24000000000017
"Weather, excluding lightning - Shield wire is down on 69kv under build.",2,0.02,50.260000000000176
"Woodward Area Windfarm, Duration 0:00:12",2,0.02,50.28000000000018
Unknown - Tripped and reclose. DCC reports blown transformer high side fuse at Pipeline Sub.,2,0.02,50.30000000000018
Unknown - Some inclement weather in the area.,2,0.02,50.320000000000185
Weather - It was later discovered that an acumulation of buzzard droppings on several insulators was causing a fault when it rained. These were repaired on 4/22/11.,2,0.02,50.34000000000019
"Woodward Area Windfarm, Duration 0:00:51",2,0.02,50.36000000000019
"Weather, excluding lightning - High winds in the area.  Notified DCC & WFEC. WFEC reports that the issue may be near the WFEC Hazelton Sub per their DTF.",2,0.02,50.380000000000194
Unknown - Trip and Reclose. No weather in the area. No DTF. PSO & DCC Notified.,2,0.02,50.4000000000002
Failed AC Circuit Equipment - Sectionalized under S1473 C phase shield wire down was the cause of the outage.,2,0.02,50.4200000000002
"Unknown - Beggs 133 open, clear weather, Beeline 187 and 188 tripped and reclosed when this tripped",2,0.02,50.440000000000204
Unknown - light sprinkles in area - nothing of significance per Sewell.,2,0.02,50.46000000000021
Unknown - 3rd operation in 48 hours.  PSO to patrol again - notified Hames.,2,0.02,50.48000000000021
"Weather, excluding lightning - weather in area/DCC notified of trip and reclose",2,0.02,50.50000000000021
"Weather, excluding lightning - Jensen Road 110/WFEC El Reno Tripped/ Reclosed. Western Farmers reports that something has happened in their buss at WFEC El Reno due to the storms. They have crews in route.",2,0.02,50.520000000000216
"Unknown - Cause unknown, DCC and OMPA notified. PSO is open at their Weleekta 61A prior to trip.",2,0.02,50.54000000000022
"Human Error - After switching out Arcadia bank 3 (S1098) to perform breaker failure testing on PCB 111 the relay tech rolled the lockout for PCB 112 which resulted in tripping PCBs 111, 113, 114, 182, 313 and 383. PCB 112 was already cleared for the work to be performed. PCBs were placed in Supv and lockout was reset and breaker closed restoring Arcadia bank 4 to service.",2,0.02,50.56000000000022
Human Error -,2,0.02,50.580000000000226
Unknown - beeline operated with no match trip at bluebell,2,0.02,50.60000000000023
Unknown - Tripped offline. Personnel investigating.,2,0.02,50.62000000000023
Unknown - No weather in the area. No DTF. Notified DCC.,2,0.02,50.640000000000235
Trees,2,0.02,50.66000000000024
"Other - Misoperation from fault on the McClain 183, 185 to Pennsylvania 108 to Southgate T115 138kV line - Disturbance ID 7880",2,0.02,50.68000000000024
Lightning - Cottonwood Creek to Crescent trip and reclose 3.5 miles from Crescent,2,0.02,50.700000000000244
Unknown - Etowah indicated dead bus. No other breakers indicating open during the opening and reclose of Etowah PCB 6.,2,0.02,50.72000000000025
Unknown - No Inclement Weather in the area,2,0.02,50.74000000000025
"Failed Protection System Equipment - clear weather, mis-op when Bristow/Pecan Creek 138kV line operated",2,0.02,50.760000000000254
"Weather, excluding lightning - DTF shows 5505 mile from Lawton ES",2,0.02,50.78000000000026
"Lightning - Storms in area, trip and reclose,",2,0.02,50.80000000000026
Unknown - Switch 30 at Texas Stella Tap is open for investigation of multiple outages on this line.  Horseshoe lake PCB 10 did not operate.  Etowah 87L-6 and 21-6 or 87L-27 and 21-27 did not show any targets for this date.  DTF 7.7.  Update: Located a broken bird guard detached on the Macomb Tap / Macomb OC Pump 69kV line. This was causing arcing and ignited a grass fire that the fire dept. had to put out. Repaired line and issue. per S1669.,2,0.02,50.82000000000026
"Weather, excluding lightning - Storms going through area",2,0.02,50.840000000000266
Lightning - Heavy down pours going through area.,2,0.02,50.86000000000027
Lightning - Storms going through area.,2,0.02,50.88000000000027
Vegetation - trees in line around AVEC Rudy line,2,0.02,50.900000000000276
Unknown - No weather reported in area.,2,0.02,50.92000000000028
"Failed AC Circuit Equipment - Shield wire contact with A phase.  OPGW section replaced on 5/08/2019.  Tryon MOS 131 was open so Tryon 184, 185 did not operate",2,0.02,50.94000000000028
Failed AC Circuit Equipment - Shield wire contact with A phase.  OPGW section replaced on 5/08/2019.,2,0.02,50.960000000000285
Weather - Misoperation from event on Arbuckle 110 to Chickasaw 108 to Uniroyal 113 138kV line - Disturbance ID 7894,2,0.02,50.98000000000029
"Power System Condition - WFEC performing maintenance at Dover, closed a cap bank that caused this disturbance.",2,0.02,51.00000000000029
Weather - 10MAY10-Storm-Tornadoes,2,0.02,51.020000000000294
Foreign Interference,2,0.02,51.0400000000003
Unknown - Tripped and re-closed,2,0.02,51.0600000000003
Unknown - Possible weather in the area,2,0.02,51.080000000000304
"Failed AC Substation Equipment - DCC, OMPA, Edmond Electric notified. Reports of a breaker blown up at Danforth.",2,0.02,51.10000000000031
"Weather, excluding lightning - multiple operations of line - placed on SUPV - tripped out - did not reclose  icy and windy in area per field reports",2,0.02,51.12000000000031
Unknown - 5.6 magnitude earthquake.,2,0.02,51.14000000000031
"Unknown - very cold weather in area, high winds reported",2,0.02,51.160000000000316
Unknown - No weather in area. Notified DCC.,2,0.02,51.18000000000032
Unknown - No known weather in area,2,0.02,51.20000000000032
"Weather, excluding lightning - rain the the area but no storms.",2,0.02,51.220000000000326
Unknown - Possible storms in area.,2,0.02,51.24000000000033
Other - Wildfire between Windfarm SS and Oklahoma Wind,2,0.02,51.26000000000033
Unknown - Light rain in area.,2,0.02,51.280000000000335
Failed Protection System Equipment - Weather in area,2,0.02,51.30000000000034
"Weather, excluding lightning - Storm in the area.",2,0.02,51.32000000000034
Other - Boiler Trip,2,0.02,51.340000000000344
Failed Protection System Equipment - This operation occur as continuted troubleshooting continues on the Thackerville Casino power transfer from Casino emergency generator to normal power lineup on OGE system. Fault cause is unknown but looking at potential relay problems.,2,0.02,51.36000000000035
"Weather, excluding lightning - Storm in the area",2,0.02,51.38000000000035
Underground cable fault on collector system (circuit 2).,2,0.02,51.400000000000354
Unknown - Border 304 & 384 opened and reclosed.  Tuco was open and stayed open.  SPS tried N25 breaker.  It reopened our Border breakers when it closed and reopned.  SPS tried Both breakers N20 and N25 and niether one tried to close.,2,0.02,51.42000000000036
Unknown - Trip and reclose. Notified DCC & WFEC. Reason for trip unknown.,2,0.02,51.44000000000036
Other - HSL 198 counter broken and turned in,2,0.02,51.46000000000036
Unknown - Trip and Reclose.,2,0.02,51.480000000000366
Animal,2,0.02,51.50000000000037
Failed Protection System Equipment - WFEC El Reno 352 tripped at this time,2,0.02,51.52000000000037
"Unknown - NO weather in the area. Notified DCC, AEP & PSO. AEP / PSO owns line. No load.",2,0.02,51.540000000000376
Unknown - Tripped and reclosed.,2,0.02,51.56000000000038
"Weather, excluding lightning - Line fault on apex side of line.",2,0.02,51.58000000000038
Unknown - Chandler 14 did not operate,2,0.02,51.600000000000385
Unknown - storms,2,0.02,51.62000000000039
Unknown - Severe Weather in the area,2,0.02,51.64000000000039
Unknown - Weather moving through the area,2,0.02,51.660000000000394
Human Error - Bill Servati with OESCO reported breaker tripped as they were cutting cable tray,2,0.02,51.6800000000004
Failed AC Substation Equipment - Report of an explosion at the Horseshoe Lake Substation. Bob Mateo reported jumpers burned off both ends of the wave trap connected to the line.,2,0.02,51.7000000000004
Other - boiler problems,2,0.02,51.720000000000404
Appears to be an underground cable fault on collector system.,2,0.02,51.74000000000041
Other - Boiler tube leak,2,0.02,51.76000000000041
Failed AC Circuit Equipment - DCC notified.,2,0.02,51.78000000000041
Weather - Trip & reclose,2,0.02,51.800000000000416
"Other - Storms in area, Spring Creek scada down, PT toggled dead/hot at Sooner so we are assuming all operated as designed. Sooner 382 is switched out.",2,0.02,51.82000000000042
"Weather, excluding lightning - Bluebell 1 & 6 appear to have operated, but there were no operations at Sapulpa terminal. Weather in area. No targets available via SCADA.",2,0.02,51.84000000000042
